Year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,genre1,genre2,genre3,release_date_tn,domestic_gross,worldwide_gross,budget
2010,Cop Out,tt1385867,Cop Out,107.0,"Action,Comedy,Crime",5.6,81656.0,en,Cop Out,2010-02-26,Action,Comedy,Crime,"Feb 26, 2010","$44,875,481","$55,909,910",30000000.0
2010,Country Strong,tt1555064,Country Strong,117.0,"Drama,Music",6.3,16296.0,en,Country Strong,2010-12-22,Drama,Music,,"Dec 22, 2010","$20,218,921","$20,601,987",15000000.0
2010,Cyrus,tt1327709,Cyrus,87.0,"Crime,Horror,Mystery",4.7,944.0,en,Cyrus,2010-06-18,Crime,Horror,Mystery,"Jun 18, 2010","$7,468,936","$10,062,896",7000000.0
2010,Cyrus,tt1336617,Cyrus,91.0,"Comedy,Drama,Romance",6.3,32457.0,en,Cyrus,2010-06-18,Comedy,Drama,Romance,"Jun 18, 2010","$7,468,936","$10,062,896",7000000.0
2010,Date Night,tt1279935,Date Night,88.0,"Comedy,Crime,Romance",6.3,144683.0,en,Date Night,2010-04-08,Comedy,Crime,Romance,"Apr 9, 2010","$98,711,404","$152,269,033",55000000.0
2010,Dear John,tt0989757,Dear John,108.0,"Drama,Romance,War",6.3,128657.0,en,Dear John,2010-02-04,Drama,Romance,War,"Feb 5, 2010","$80,014,842","$142,033,509",25000000.0
2010,Death at a Funeral,tt1321509,Death at a Funeral,92.0,Comedy,5.7,42042.0,en,Death at a Funeral,2010-04-15,Comedy,,,"Apr 16, 2010","$42,739,347","$48,977,233",21000000.0
2010,Despicable Me,tt1323594,Despicable Me,95.0,"Animation,Comedy,Family",7.7,464511.0,en,Despicable Me,2010-07-09,Animation,Comedy,Family,"Jul 9, 2010","$251,513,985","$543,464,573",69000000.0
2010,Devil,tt1314655,Devil,80.0,"Horror,Mystery,Thriller",6.2,122080.0,en,Devil,2010-09-17,Horror,Mystery,Thriller,"Sep 17, 2010","$33,679,655","$63,354,114",10000000.0
2010,Diary of a Wimpy Kid,tt1196141,Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,38640.0,en,Diary of a Wimpy Kid,2010-03-19,Comedy,Drama,Family,"Mar 19, 2010","$64,003,625","$76,954,311",15000000.0
2010,Dinner for Schmucks,tt0427152,Dinner for Schmucks,114.0,Comedy,5.9,91546.0,en,Dinner for Schmucks,2010-07-30,Comedy,,,"Jul 30, 2010","$73,026,337","$86,796,502",69000000.0
2010,Drones,tt1232775,Drones,98.0,Comedy,6.4,483.0,en,Drones,2010-01-23,Comedy,,,"Dec 31, 2010",$0,$0,500000.0
2010,Due Date,tt1231583,Due Date,95.0,"Adventure,Comedy",6.5,303523.0,en,Due Date,2010-11-04,Adventure,Comedy,,"Nov 5, 2010","$100,539,043","$211,739,043",65000000.0
